Datetime;Area of dayzone / m2;Area of nightzone / m2;Q heating system building / W;TSensor of dayzone / K;TSensor of nightzone / K
29400;64.0;64.0;0.0;290.364868164;291.720703125
30000;64.0;64.0;0.0;290.334991455;291.657989502
30600;64.0;64.0;0.0;290.312805176;291.607269287
31200;64.0;64.0;0.0;290.297454834;291.566864014
31800;64.0;64.0;0.0;290.288726807;291.53616333
32400;64.0;64.0;0.0;290.2840271;291.511993408
33000;64.0;64.0;0.0;290.277160645;291.48046875
33600;64.0;64.0;0.0;290.274353027;291.466583252
34200;64.0;64.0;0.0;290.270568848;291.446228027
34800;64.0;64.0;0.0;290.267089844;291.427032471
35400;64.0;64.0;0.0;290.262939453;291.406494141
36000;64.0;64.0;0.0;290.25958252;291.389862061
36600;64.0;64.0;0.0;290.256256104;291.372589111
37200;64.0;64.0;0.0;290.253356934;291.356323242
37800;64.0;64.0;0.0;290.25088501;291.341064453
38400;64.0;64.0;0.0;290.24887085;291.326812744
39000;64.0;64.0;0.0;290.247192383;291.313446045
39600;64.0;64.0;0.0;290.245849609;291.300811768
40200;64.0;64.0;0.0;290.244720459;291.288787842
40800;64.0;64.0;0.0;290.243743896;291.277252197
41400;64.0;64.0;0.0;290.242828369;291.266082764
42000;64.0;64.0;0.0;290.241516113;291.250244141
42600;64.0;64.0;0.0;290.240539551;291.24029541
43200;64.0;64.0;0.0;290.239776611;291.233123779
43800;64.0;64.0;0.0;290.238342285;291.221832275
44400;64.0;64.0;0.0;290.236480713;291.21005249
45000;64.0;64.0;0.0;290.23324585;291.193725586
45600;64.0;64.0;0.0;290.231140137;291.184509277
46200;64.0;64.0;0.0;290.227600098;291.170623779
46800;64.0;64.0;0.0;290.223510742;291.156036377
47400;64.0;64.0;0.0;290.218933105;291.140716553
48000;64.0;64.0;0.0;290.21383667;291.124664307
48600;64.0;64.0;0.0;290.208190918;291.107849121
49200;64.0;64.0;0.0;290.202087402;291.090301514
49800;64.0;64.0;0.0;290.195526123;291.072052002
50400;64.0;64.0;0.0;290.18850708;291.053100586
51000;64.0;64.0;0.0;290.181060791;291.033416748
51600;64.0;64.0;0.0;290.173187256;291.013061523
52200;64.0;64.0;0.0;290.164886475;290.992004395
52800;64.0;64.0;0.0;290.156097412;290.970184326
53400;64.0;64.0;0.0;290.14666748;290.947418213
54000;64.0;64.0;0.0;290.136474609;290.92364502
54600;64.0;64.0;0.0;290.125610352;290.898895264
55200;64.0;64.0;0.0;290.114318848;290.873535156
55800;64.0;64.0;0.0;290.102935791;290.847930908
