#1 
double data(35040,2)
0.000000000000000000e+00 1.647142857142857224e+02
9.000000000000000000e+02 1.622142857142857224e+02
1.800000000000000000e+03 1.732857142857142776e+02
2.700000000000000000e+03 9.607142857142856940e+01
3.600000000000000000e+03 2.714285714285714235e+01
4.500000000000000000e+03 4.928571428571428470e+01
5.400000000000000000e+03 6.285714285714285410e+01
6.300000000000000000e+03 2.714285714285714235e+01
7.200000000000000000e+03 3.821428571428571530e+01
8.100000000000000000e+03 6.285714285714285410e+01
9.000000000000000000e+03 1.535000000000000000e+02
9.900000000000000000e+03 1.511428571428571388e+02
1.080000000000000000e+04 1.868571428571428612e+02
1.170000000000000000e+04 1.597142857142857224e+02
1.260000000000000000e+04 1.511428571428571388e+02
1.350000000000000000e+04 1.179285714285714306e+02
1.440000000000000000e+04 5.428571428571428470e+01
1.530000000000000000e+04 1.085714285714285694e+02
1.620000000000000000e+04 2.357142857142857224e+02
1.710000000000000000e+04 2.271428571428571388e+02
1.800000000000000000e+04 2.628571428571428328e+02
1.890000000000000000e+04 2.357142857142857224e+02
1.980000000000000000e+04 2.382142857142857224e+02
2.070000000000000000e+04 2.382142857142857224e+02
2.160000000000000000e+04 2.357142857142857224e+02
2.250000000000000000e+04 2.628571428571428328e+02
2.340000000000000000e+04 2.271428571428571388e+02
2.430000000000000000e+04 2.492857142857142776e+02
2.520000000000000000e+04 2.628571428571428328e+02
2.610000000000000000e+04 2.382142857142857224e+02
2.700000000000000000e+04 2.382142857142857224e+02
2.790000000000000000e+04 2.628571428571428328e+02
2.880000000000000000e+04 2.492857142857142776e+02
2.970000000000000000e+04 2.128571428571428612e+02
3.060000000000000000e+04 1.685714285714285836e+02
3.150000000000000000e+04 8.071428571428570820e+01
3.240000000000000000e+04 3.821428571428571530e+01
3.330000000000000000e+04 5.178571428571428470e+01
3.420000000000000000e+04 4.928571428571428470e+01
3.510000000000000000e+04 4.928571428571428470e+01
3.600000000000000000e+04 4.071428571428571530e+01
3.690000000000000000e+04 4.928571428571428470e+01
3.780000000000000000e+04 4.928571428571428470e+01
3.870000000000000000e+04 5.178571428571428470e+01
3.960000000000000000e+04 2.464285714285714235e+01
4.050000000000000000e+04 4.928571428571428470e+01
4.140000000000000000e+04 4.928571428571428470e+01
4.230000000000000000e+04 1.357142857142857117e+01
4.320000000000000000e+04 6.285714285714285410e+01
4.410000000000000000e+04 8.492857142857143060e+01
4.500000000000000000e+04 2.530214285714284870e+02
4.590000000000000000e+04 1.447097959183674220e+03
4.680000000000000000e+04 1.568597959183674220e+03
4.770000000000000000e+04 1.639669387755102662e+03
4.860000000000000000e+04 1.639740816326531331e+03
4.950000000000000000e+04 6.802597667638486882e+02
5.040000000000000000e+04 4.379857142857142094e+02
5.130000000000000000e+04 2.721999999999999318e+02
5.220000000000000000e+04 1.789142857142856826e+02
5.310000000000000000e+04 8.757714285714284870e+02
