Time,AixLib_T_dayzone,AixLib_T_nightzone,AixLib_Heating_Power_W
0.0,293.1499938964844,293.1499938964844,0.0
600.0,291.1499938964844,293.1499938964844,2142.126953125
1200.0,291.1499938964844,293.1499938964844,2050.98974609375
1800.0,291.1499938964844,293.1499938964844,1957.8936767578125
2400.0,291.1499938964844,293.1499938964844,1863.258056640625
3000.0,291.1499938964844,293.1499938964844,1768.124755859375
3600.0,291.1499938964844,293.1499938964844,1675.24853515625
4200.0,291.1499938964844,293.1499938964844,1713.6661376953125
4800.0,291.1499938964844,293.1499938964844,1751.6341552734375
5400.0,291.1499938964844,293.1499938964844,1788.933837890625
6000.0,291.1499938964844,293.1499938964844,1826.1837158203125
6600.0,291.1499938964844,293.1499938964844,1862.8211669921875
7200.0,291.1499938964844,293.1499938964844,1899.3759765625
7800.0,291.1499938964844,293.1499938964844,1936.58642578125
8400.0,291.1499938964844,293.1499938964844,1974.5428466796875
9000.0,291.1499938964844,293.1499938964844,2011.3133544921875
9600.0,291.1499938964844,293.1499938964844,2048.02490234375
10200.0,291.1499938964844,293.1499938964844,2080.0390625
10800.0,291.1499938964844,293.1499938964844,2111.559814453125
11400.0,291.1499938964844,293.1499938964844,2139.36181640625
12000.0,291.1499938964844,293.1499938964844,2167.1142578125
12600.0,291.1499938964844,293.1499938964844,2194.5302734375
13200.0,291.1499938964844,293.1499938964844,2221.929931640625
13800.0,291.1499938964844,293.1499938964844,2248.643310546875
14400.0,291.1499938964844,293.1499938964844,2275.28466796875
15000.0,291.1499938964844,293.1499938964844,2301.019775390625
15600.0,291.1499938964844,293.1499938964844,2325.793701171875
16200.0,291.1499938964844,293.1499938964844,2349.717041015625
16800.0,291.1499938964844,293.1499938964844,2373.599365234375
17400.0,291.1499938964844,293.1499938964844,2397.523681640625
18000.0,291.1499938964844,293.1499938964844,2421.45263671875
18600.0,291.1499938964844,293.1499938964844,2446.387451171875
19200.0,291.1499938964844,293.1499938964844,2471.7353515625
19800.0,291.1499938964844,293.1499938964844,2496.494873046875
20400.0,291.1499938964844,293.1499938964844,2521.225341796875
21000.0,291.1499938964844,293.1499938964844,2543.554931640625
21600.0,291.1499938964844,293.1499938964844,2565.6328125
22200.0,290.81671142578125,292.48345947265625,1672.3758544921875
22800.0,290.4833984375,291.8167724609375,999.9483642578125
23400.0,290.1500549316406,291.1501159667969,331.8289489746094
24000.0,289.8979187011719,290.4834289550781,0.0
24600.0,289.8591613769531,289.8167724609375,0.0
25200.0,289.84051513671875,289.456787109375,0.0
25800.0,289.7829284667969,289.408935546875,0.0
26400.0,289.70819091796875,289.37652587890625,0.0
27000.0,289.62969970703125,289.3458557128906,0.0
27600.0,289.5490417480469,289.31585693359375,0.0
28200.0,289.4666442871094,289.2871398925781,0.0
28800.0,289.38238525390625,289.2598571777344,0.0
29400.0,289.3409729003906,289.2358703613281,0.0
30000.0,289.3292236328125,289.2231750488281,0.0
30600.0,289.32879638671875,289.2226867675781,0.0
31200.0,289.33746337890625,289.2317199707031,0.0
31800.0,289.35638427734375,289.251220703125,0.0
32400.0,289.3626708984375,289.2583923339844,0.0
33000.0,289.35296630859375,289.2499694824219,0.0
33600.0,289.344482421875,289.24285888671875,0.0
34200.0,289.3371276855469,289.2369689941406,0.0
34800.0,289.3274841308594,289.2288818359375,0.0
35400.0,289.3175354003906,289.2205505371094,0.0
36000.0,289.3094177246094,289.214111328125,0.0
36600.0,289.3033447265625,289.209716796875,0.0
37200.0,289.2989807128906,289.2070617675781,0.0
37800.0,289.2955627441406,289.2053527832031,0.0
38400.0,289.2926940917969,289.20428466796875,0.0
39000.0,289.2902526855469,289.2037048339844,0.0
39600.0,289.2878112792969,289.2031555175781,0.0
40200.0,289.28515625,289.2024230957031,0.0
40800.0,289.28228759765625,289.2015075683594,0.0
41400.0,289.2790832519531,289.2003479003906,0.0
42000.0,289.2755432128906,289.19891357421875,0.0
42600.0,289.2712707519531,289.19683837890625,0.0
43200.0,289.266357421875,289.1941833496094,0.0
43800.0,289.2602233886719,289.1901550292969,0.0
44400.0,289.2518310546875,289.1832275390625,0.0
45000.0,289.2414245605469,289.1737060546875,0.0
45600.0,289.2290344238281,289.1616516113281,0.0
46200.0,289.2154235839844,289.1499938964844,0.0
46800.0,289.2005920410156,289.1499938964844,0.0
47400.0,289.1849060058594,289.1499938964844,0.0
48000.0,289.1681213378906,289.1499938964844,0.0
48600.0,289.1503601074219,289.1499938964844,0.0
49200.0,289.1499938964844,289.1499938964844,46.952430725097656
49800.0,289.1499938964844,289.1499938964844,83.9428939819336
50400.0,289.1499938964844,289.1499938964844,121.52021789550781
51000.0,289.1499938964844,289.1499938964844,159.01669311523438
51600.0,289.1499938964844,289.1499938964844,195.99090576171875
52200.0,289.1499938964844,289.1499938964844,235.4866943359375
52800.0,289.1499938964844,289.1499938964844,275.10711669921875
53400.0,289.1499938964844,289.1499938964844,320.8941345214844
54000.0,289.1499938964844,289.1499938964844,371.708740234375
54600.0,289.1499938964844,289.1499938964844,424.0640869140625
55200.0,289.1499938964844,289.1499938964844,473.7787780761719
55800.0,289.1499938964844,289.1499938964844,519.107666015625
56400.0,289.1499938964844,289.1499938964844,560.7944946289062
57000.0,289.1499938964844,289.1499938964844,600.6517944335938
57600.0,289.1499938964844,289.1499938964844,638.634033203125
58200.0,289.9831848144531,289.4832763671875,2820.20849609375
58800.0,290.8165283203125,289.8166198730469,4442.8671875
59400.0,291.6498718261719,290.1499328613281,6055.28076171875
60000.0,292.48321533203125,290.4832763671875,7656.32421875
