#1 
double data(35040,2)
0.000000000000000000e+00 1.712841757882331706e+02
9.000000000000000000e+02 1.810894662403356961e+02
1.800000000000000000e+03 1.697714285714285722e+02
2.700000000000000000e+03 1.693142857142857167e+02
3.600000000000000000e+03 1.718285714285714221e+02
4.500000000000000000e+03 1.734285714285714164e+02
5.400000000000000000e+03 1.821142857142857281e+02
6.300000000000000000e+03 1.738285714285714221e+02
7.200000000000000000e+03 1.491142857142857281e+02
8.100000000000000000e+03 9.486428571428572809e+01
9.000000000000000000e+03 9.407142857142856940e+01
9.900000000000000000e+03 1.367642857142857338e+02
1.080000000000000000e+04 1.266000000000000085e+02
1.170000000000000000e+04 1.294857142857142946e+02
1.260000000000000000e+04 1.441714285714285779e+02
1.350000000000000000e+04 1.942285714285714278e+02
1.440000000000000000e+04 0.000000000000000000e+00
1.530000000000000000e+04 1.874285714285714022e+01
1.620000000000000000e+04 3.837142857142857366e+01
1.710000000000000000e+04 1.113714285714285808e+02
1.800000000000000000e+04 1.488857142857143003e+02
1.890000000000000000e+04 1.677142857142857224e+02
1.980000000000000000e+04 1.592571428571428385e+02
2.070000000000000000e+04 1.805142857142857054e+02
2.160000000000000000e+04 1.647428571428571615e+02
2.250000000000000000e+04 1.693142857142857167e+02
2.340000000000000000e+04 1.764000000000000057e+02
2.430000000000000000e+04 1.647428571428571615e+02
2.520000000000000000e+04 1.713714285714285950e+02
2.610000000000000000e+04 1.642857142857142776e+02
2.700000000000000000e+04 1.818857142857143003e+02
2.790000000000000000e+04 1.834857142857142946e+02
2.880000000000000000e+04 1.505714285714285836e+02
2.970000000000000000e+04 1.540000000000000284e+02
3.060000000000000000e+04 1.556285714285714334e+02
3.150000000000000000e+04 1.410285714285714391e+02
3.240000000000000000e+04 1.298857142857143003e+02
3.330000000000000000e+04 1.445142857142857054e+02
3.420000000000000000e+04 1.145999999999999943e+02
3.510000000000000000e+04 7.685714285714286120e+01
3.600000000000000000e+04 8.640000000000000568e+01
3.690000000000000000e+04 7.474285714285714732e+01
3.780000000000000000e+04 7.634285714285715585e+01
3.870000000000000000e+04 6.925714285714286689e+01
3.960000000000000000e+04 9.445714285714284131e+01
4.050000000000000000e+04 1.114857142857142946e+02
4.140000000000000000e+04 1.168285714285714221e+02
4.230000000000000000e+04 1.266857142857143117e+02
4.320000000000000000e+04 1.707428571428571615e+02
4.410000000000000000e+04 2.053852484472049866e+02
4.500000000000000000e+04 2.414430124223603684e+02
4.590000000000000000e+04 2.163287267080746119e+02
4.680000000000000000e+04 2.239930124223603514e+02
4.770000000000000000e+04 2.259358695652175300e+02
4.860000000000000000e+04 2.745858695652175356e+02
4.950000000000000000e+04 2.679572981366461022e+02
5.040000000000000000e+04 2.472644409937889236e+02
5.130000000000000000e+04 2.456072981366460510e+02
5.220000000000000000e+04 2.424736024844721669e+02
5.310000000000000000e+04 1.295214285714285722e+02
5.400000000000000000e+04 1.126571428571428726e+02
5.490000000000000000e+04 1.110571428571428925e+02
5.580000000000000000e+04 1.206285714285714477e+02
5.670000000000000000e+04 8.698660909747854930e+01
5.760000000000000000e+04 7.331274721680458129e+01
5.850000000000000000e+04 9.319846150251886741e+01
5.940000000000000000e+04 9.114131864537601757e+01
6.030000000000000000e+04 6.828417578823314216e+01
6.120000000000000000e+04 9.101287277982825685e+01
6.210000000000000000e+04 9.616989007394742828e+01
6.300000000000000000e+04 7.034131864537600620e+01
6.390000000000000000e+04 7.696989007394743965e+01
6.480000000000000000e+04 9.803530608907362875e+01
6.570000000000000000e+04 8.479999999999998295e+01
6.660000000000000000e+04 7.428571428571429180e+01
6.750000000000000000e+04 7.634285714285715585e+01
6.840000000000000000e+04 7.474285714285714732e+01
6.930000000000000000e+04 8.137142857142858077e+01
7.020000000000000000e+04 9.377142857142858645e+01
7.110000000000000000e+04 1.275377393983190615e+02
7.200000000000000000e+04 8.128417578823314216e+01
7.290000000000000000e+04 5.456989007394742686e+01
7.380000000000000000e+04 8.039846150251888446e+01
7.470000000000000000e+04 9.616989007394742828e+01
7.560000000000000000e+04 9.476989007394743680e+01
7.650000000000000000e+04 1.340037519546213787e+02
7.740000000000000000e+04 1.791142857142856712e+02
7.830000000000000000e+04 1.747999999999999829e+02
7.920000000000000000e+04 1.693142857142857451e+02
8.010000000000000000e+04 1.663428571428571558e+02
8.100000000000000000e+04 1.492000000000000171e+02
8.190000000000000000e+04 1.297775666907546395e+02
8.280000000000000000e+04 1.025698900739474482e+02
8.370000000000000000e+04 9.082703293109027243e+01
8.460000000000000000e+04 1.156841757882331478e+02
8.550000000000000000e+04 1.452270329310902923e+02
8.640000000000000000e+04 1.644112558638641701e+02
8.730000000000000000e+04 1.834857142857142946e+02
8.820000000000000000e+04 1.663428571428571558e+02
8.910000000000000000e+04 1.505714285714285836e+02
9.000000000000000000e+04 1.805142857142857054e+02
9.090000000000000000e+04 1.747999999999999829e+02
9.180000000000000000e+04 1.519428571428571502e+02
9.270000000000000000e+04 1.576571428571428442e+02
9.360000000000000000e+04 1.207775666907546395e+02
9.450000000000000000e+04 9.208417578823316774e+01
9.540000000000000000e+04 8.199846150251890720e+01
9.630000000000000000e+04 9.456989007394743396e+01
9.720000000000000000e+04 9.639846150251887025e+01
9.810000000000000000e+04 1.323345839848738024e+02
9.900000000000000000e+04 1.626857142857142833e+02
9.990000000000000000e+04 1.834857142857142946e+02
1.008000000000000000e+05 1.713714285714285950e+02
1.017000000000000000e+05 1.505714285714285836e+02
1.026000000000000000e+05 1.805142857142857054e+02
1.035000000000000000e+05 1.784571428571428555e+02
1.044000000000000000e+05 1.606285714285714334e+02
1.053000000000000000e+05 1.663428571428571558e+02
1.062000000000000000e+05 1.734285714285714164e+02
1.071000000000000000e+05 1.576571428571428442e+02
1.080000000000000000e+05 1.693142857142857167e+02
1.089000000000000000e+05 1.905714285714285836e+02
1.098000000000000000e+05 1.647428571428571615e+02
1.107000000000000000e+05 1.642857142857142776e+02
1.116000000000000000e+05 1.626857142857142833e+02
1.125000000000000000e+05 1.661142857142856997e+02
1.134000000000000000e+05 1.677142857142857508e+02
1.143000000000000000e+05 1.418857142857143003e+02
1.152000000000000000e+05 1.768571428571428612e+02
1.161000000000000000e+05 1.694571428571428271e+02
1.170000000000000000e+05 1.426285714285714334e+02
1.179000000000000000e+05 1.533714285714285666e+02
1.188000000000000000e+05 1.438571428571428612e+02
1.197000000000000000e+05 1.126571428571428726e+02
1.206000000000000000e+05 7.942857142857143060e+01
1.215000000000000000e+05 1.005714285714285694e+02
1.224000000000000000e+05 7.474285714285714732e+01
1.233000000000000000e+05 6.925714285714285268e+01
1.242000000000000000e+05 7.634285714285714164e+01
1.251000000000000000e+05 8.479999999999998295e+01
1.260000000000000000e+05 8.640000000000000568e+01
1.269000000000000000e+05 8.211428571428572809e+01
1.278000000000000000e+05 1.447142857142857224e+02
1.287000000000000000e+05 1.771714285714285495e+02
1.296000000000000000e+05 1.693142857142857167e+02
