#1 
double data(35040,2)
0.000000000000000000e+00 1.647857142857142776e+02
9.000000000000000000e+02 1.190000000000000000e+02
1.800000000000000000e+03 1.320000000000000000e+02
2.700000000000000000e+03 1.410000000000000000e+02
3.600000000000000000e+03 9.500000000000000000e+01
4.500000000000000000e+03 1.085714285714285694e+02
5.400000000000000000e+03 1.358571428571428612e+02
6.300000000000000000e+03 2.190000000000000000e+02
7.200000000000000000e+03 2.325714285714285836e+02
8.100000000000000000e+03 2.461428571428571388e+02
9.000000000000000000e+03 2.054285714285714164e+02
9.900000000000000000e+03 1.882857142857142776e+02
1.080000000000000000e+04 1.685714285714285836e+02
1.170000000000000000e+04 2.128571428571428612e+02
1.260000000000000000e+04 2.821428571428571672e+02
1.350000000000000000e+04 2.714285714285714448e+02
1.440000000000000000e+04 0.000000000000000000e+00
1.530000000000000000e+04 5.428571428571428470e+01
1.620000000000000000e+04 1.192857142857142918e+02
1.710000000000000000e+04 2.335714285714285836e+02
1.800000000000000000e+04 3.085714285714285552e+02
1.890000000000000000e+04 2.814285714285714448e+02
1.980000000000000000e+04 3.221428571428571672e+02
2.070000000000000000e+04 3.085714285714285552e+02
2.160000000000000000e+04 2.950000000000000000e+02
2.250000000000000000e+04 3.357142857142857224e+02
2.340000000000000000e+04 3.085714285714285552e+02
2.430000000000000000e+04 2.950000000000000000e+02
2.520000000000000000e+04 3.357142857142857224e+02
2.610000000000000000e+04 3.085714285714285552e+02
2.700000000000000000e+04 2.150000000000000000e+02
2.790000000000000000e+04 1.442857142857142776e+02
2.880000000000000000e+04 1.064285714285714306e+02
2.970000000000000000e+04 1.664285714285714164e+02
3.060000000000000000e+04 1.471428571428571388e+02
3.150000000000000000e+04 9.500000000000000000e+01
3.240000000000000000e+04 1.085714285714285694e+02
3.330000000000000000e+04 2.226878881987578609e+02
3.420000000000000000e+04 5.005434782608699606e+02
3.510000000000000000e+04 5.141149068322985158e+02
3.600000000000000000e+04 5.276863354037270710e+02
3.690000000000000000e+04 4.869720496894414055e+02
3.780000000000000000e+04 1.306149692889961898e+03
3.870000000000000000e+04 1.306149692889961898e+03
3.960000000000000000e+04 1.293078264318533456e+03
4.050000000000000000e+04 1.334721121461390567e+03
4.140000000000000000e+04 1.011508388542134867e+03
4.230000000000000000e+04 1.020820500343376921e+03
4.320000000000000000e+04 2.198575602384195008e+03
4.410000000000000000e+04 2.251789888098480787e+03
4.500000000000000000e+04 2.310647030955623450e+03
4.590000000000000000e+04 2.351361316669909229e+03
4.680000000000000000e+04 1.799928372063494180e+03
4.770000000000000000e+04 1.026034786057662586e+03
4.860000000000000000e+04 2.487881990041187805e+02
4.950000000000000000e+04 2.190000000000000000e+02
5.040000000000000000e+04 2.190000000000000000e+02
5.130000000000000000e+04 2.597142857142857224e+02
5.220000000000000000e+04 2.190000000000000000e+02
5.310000000000000000e+04 1.794285714285714164e+02
5.400000000000000000e+04 1.357142857142857224e+02
5.490000000000000000e+04 9.500000000000000000e+01
5.580000000000000000e+04 1.085714285714285694e+02
5.670000000000000000e+04 1.221428571428571388e+02
5.760000000000000000e+04 8.142857142857143060e+01
5.850000000000000000e+04 1.085714285714285694e+02
5.940000000000000000e+04 1.618571428571428612e+02
6.030000000000000000e+04 2.054285714285714164e+02
6.120000000000000000e+04 2.461428571428571388e+02
6.210000000000000000e+04 2.325714285714285836e+02
6.300000000000000000e+04 2.190000000000000000e+02
6.390000000000000000e+04 1.622857142857142776e+02
6.480000000000000000e+04 1.162142857142857082e+02
6.570000000000000000e+04 5.483177842565600031e+02
6.660000000000000000e+04 1.423183673469388395e+03
6.750000000000000000e+04 1.502326530612245278e+03
6.840000000000000000e+04 1.500397959183673947e+03
6.930000000000000000e+04 1.520469387755102389e+03
7.020000000000000000e+04 3.138571428571428328e+02
7.110000000000000000e+04 1.457755102040816837e+03
7.200000000000000000e+04 1.390326530612245506e+03
7.290000000000000000e+04 1.349612244897959954e+03
7.380000000000000000e+04 1.282425655976677035e+03
7.470000000000000000e+04 1.888571428571428612e+02
7.560000000000000000e+04 2.014285714285714164e+02
7.650000000000000000e+04 2.325714285714285836e+02
7.740000000000000000e+04 2.461428571428571388e+02
7.830000000000000000e+04 2.054285714285714164e+02
7.920000000000000000e+04 2.325714285714285836e+02
8.010000000000000000e+04 1.528571428571428612e+02
8.100000000000000000e+04 8.142857142857143060e+01
8.190000000000000000e+04 1.221428571428571388e+02
8.280000000000000000e+04 2.238571428571428612e+02
8.370000000000000000e+04 2.634285714285714448e+02
8.460000000000000000e+04 3.837142857142857224e+02
