#1 
double data(35040,2)
0.000000000000000000e+00 3.521236259243428321e+02
9.000000000000000000e+02 3.486183280041959165e+02
1.800000000000000000e+03 3.246428571428571672e+02
2.700000000000000000e+03 3.239285714285714448e+02
3.600000000000000000e+03 3.278571428571428328e+02
4.500000000000000000e+03 3.303571428571428328e+02
5.400000000000000000e+03 3.439285714285714448e+02
6.300000000000000000e+03 3.292857142857142776e+02
7.200000000000000000e+03 2.592857142857142776e+02
8.100000000000000000e+03 1.494285714285714164e+02
9.000000000000000000e+03 1.559285714285714164e+02
9.900000000000000000e+03 2.319285714285714164e+02
1.080000000000000000e+04 2.139285714285714164e+02
1.170000000000000000e+04 2.260714285714285836e+02
1.260000000000000000e+04 2.642857142857142776e+02
1.350000000000000000e+04 3.628571428571428328e+02
1.440000000000000000e+04 0.000000000000000000e+00
1.530000000000000000e+04 2.928571428571428470e+01
1.620000000000000000e+04 6.250000000000000000e+01
1.710000000000000000e+04 2.028571428571428612e+02
1.800000000000000000e+04 2.725000000000000000e+02
1.890000000000000000e+04 3.214285714285714448e+02
1.980000000000000000e+04 3.082142857142857224e+02
2.070000000000000000e+04 3.414285714285714448e+02
2.160000000000000000e+04 3.167857142857142776e+02
2.250000000000000000e+04 3.239285714285714448e+02
2.340000000000000000e+04 3.350000000000000000e+02
2.430000000000000000e+04 3.167857142857142776e+02
2.520000000000000000e+04 3.271428571428571672e+02
2.610000000000000000e+04 3.160714285714285552e+02
2.700000000000000000e+04 3.435714285714285552e+02
2.790000000000000000e+04 3.460714285714285552e+02
2.880000000000000000e+04 2.946428571428571672e+02
2.970000000000000000e+04 3.000000000000000000e+02
3.060000000000000000e+04 2.932142857142857224e+02
3.150000000000000000e+04 2.678571428571428328e+02
3.240000000000000000e+04 2.453571428571428612e+02
3.330000000000000000e+04 2.614285714285714448e+02
3.420000000000000000e+04 2.053571428571428612e+02
3.510000000000000000e+04 1.217857142857142918e+02
3.600000000000000000e+04 1.350000000000000000e+02
3.690000000000000000e+04 1.167857142857142918e+02
3.780000000000000000e+04 1.192857142857142918e+02
3.870000000000000000e+04 1.082142857142857082e+02
3.960000000000000000e+04 1.492857142857142776e+02
4.050000000000000000e+04 1.860714285714285836e+02
4.140000000000000000e+04 2.139285714285714164e+02
4.230000000000000000e+04 2.335714285714285836e+02
4.320000000000000000e+04 3.210714285714285552e+02
4.410000000000000000e+04 4.509409937888199806e+02
4.500000000000000000e+04 6.701863354037270710e+02
4.590000000000000000e+04 6.012577639751556262e+02
4.680000000000000000e+04 6.413291925465842951e+02
4.770000000000000000e+04 6.764720496894414055e+02
4.860000000000000000e+04 7.885434782608699606e+02
4.950000000000000000e+04 7.781863354037270710e+02
5.040000000000000000e+04 7.459006211180128503e+02
5.130000000000000000e+04 7.233291925465842951e+02
5.220000000000000000e+04 6.750372670807456643e+02
5.310000000000000000e+04 2.591428571428571672e+02
5.400000000000000000e+04 2.322142857142857224e+02
5.490000000000000000e+04 2.297142857142857224e+02
5.580000000000000000e+04 2.366428571428571388e+02
5.670000000000000000e+04 1.423326137184816673e+02
5.760000000000000000e+04 1.439093402100571950e+02
5.850000000000000000e+04 1.749807687814857502e+02
5.940000000000000000e+04 1.717664830672000278e+02
6.030000000000000000e+04 1.360521973529143338e+02
6.120000000000000000e+04 1.926609097478531396e+02
6.210000000000000000e+04 1.796236259243428890e+02
6.300000000000000000e+04 1.392664830672000278e+02
6.390000000000000000e+04 1.496236259243428890e+02
6.480000000000000000e+04 1.804413261134204447e+02
6.570000000000000000e+04 1.325000000000000000e+02
6.660000000000000000e+04 1.160714285714285694e+02
6.750000000000000000e+04 1.192857142857142918e+02
6.840000000000000000e+04 1.167857142857142918e+02
6.930000000000000000e+04 1.271428571428571388e+02
7.020000000000000000e+04 1.617857142857142776e+02
7.110000000000000000e+04 2.392217424789877782e+02
7.200000000000000000e+04 1.589093402100571950e+02
7.290000000000000000e+04 1.146236259243429032e+02
7.380000000000000000e+04 1.549807687814857502e+02
7.470000000000000000e+04 1.796236259243428890e+02
7.560000000000000000e+04 1.935521973529143338e+02
7.650000000000000000e+04 2.546897565756244717e+02
7.740000000000000000e+04 3.350000000000000000e+02
7.830000000000000000e+04 3.325000000000000000e+02
7.920000000000000000e+04 3.239285714285714448e+02
8.010000000000000000e+04 3.192857142857142776e+02
8.100000000000000000e+04 2.789285714285714448e+02
8.190000000000000000e+04 2.565052979201469725e+02
8.280000000000000000e+04 2.031950544957714726e+02
8.370000000000000000e+04 1.721236259243428890e+02
8.460000000000000000e+04 2.296236259243428890e+02
8.550000000000000000e+04 3.046236259243428890e+02
8.640000000000000000e+04 3.351406982983020839e+02
